Episode 161/2000 | Total reward: -200.0
Episode 162/2000 | Total reward: -200.0
Episode 163/2000 | Total reward: -200.0
Episode 164/2000 | Total reward: -200.0
Episode 165/2000 | Total reward: -200.0
Episode 166/2000 | Total reward: -200.0
Episode 167/2000 | Total reward: -200.0
Episode 168/2000 | Total reward: -200.0
Episode 169/2000 | Total reward: -200.0
Episode 170/2000 | Total reward: -200.0
Episode 171/2000 | Total reward: -200.0
Episode 172/2000 | Total reward: -200.0
Episode 173/2000 | Total reward: -200.0
Episode 174/2000 | Total reward: -200.0
Episode 175/2000 | Total reward: -200.0
Episode 176/2000 | Total reward: -200.0
Episode 177/2000 | Total reward: -200.0
Episode 178/2000 | Total reward: -200.0
Episode 179/2000 | Total reward: -200.0
Episode 180/2000 | Total reward: -200.0
Episode 181/2000 | Total reward: -200.0
Episode 182/2000 | Total reward: -200.0
Episode 183/2000 | Total reward: -200.0
Episode 184/2000 | Total reward: -200.0
Episode 185/2000 | Total reward: -200.0
Episode 186/2000 | Total reward: -200.0
Episode 187/2000 | Total reward: -200.0
Episode 188/2000 | Total reward: -200.0
Episode 189/2000 | Total reward: -200.0
Episode 190/2000 | Total reward: -200.0
Episode 191/2000 | Total reward: -200.0
Episode 192/2000 | Total reward: -200.0
Episode 193/2000 | Total reward: -200.0
Episode 194/2000 | Total reward: -200.0
Episode 195/2000 | Total reward: -200.0
Episode 196/2000 | Total reward: -200.0
Episode 197/2000 | Total reward: -200.0
Episode 198/2000 | Total reward: -200.0
Episode 199/2000 | Total reward: -200.0
Episode 200/2000 | Total reward: -200.0
Episode 201/2000 | Total reward: -200.0
Episode 202/2000 | Total reward: -200.0
Episode 203/2000 | Total reward: -200.0
Episode 204/2000 | Total reward: -200.0
Episode 205/2000 | Total reward: -200.0
Episode 206/2000 | Total reward: -200.0
Episode 207/2000 | Total reward: -200.0
Episode 208/2000 | Total reward: -200.0
Episode 209/2000 | Total reward: -200.0
Episode 210/2000 | Total reward: -200.0
Episode 211/2000 | Total reward: -200.0
Episode 212/2000 | Total reward: -200.0
Episode 213/2000 | Total reward: -200.0
Episode 214/2000 | Total reward: -200.0
Episode 215/2000 | Total reward: -200.0
Episode 216/2000 | Total reward: -200.0
Episode 217/2000 | Total reward: -200.0
Episode 218/2000 | Total reward: -200.0
Episode 219/2000 | Total reward: -200.0
Episode 220/2000 | Total reward: -200.0
Episode 221/2000 | Total reward: -200.0
Episode 222/2000 | Total reward: -200.0
Episode 223/2000 | Total reward: -200.0
Episode 224/2000 | Total reward: -200.0
Episode 225/2000 | Total reward: -200.0
Episode 226/2000 | Total reward: -200.0
Episode 227/2000 | Total reward: -200.0
Episode 228/2000 | Total reward: -200.0
Episode 229/2000 | Total reward: -200.0
Episode 230/2000 | Total reward: -200.0
Episode 231/2000 | Total reward: -200.0
Episode 232/2000 | Total reward: -200.0
Episode 233/2000 | Total reward: -200.0
Episode 234/2000 | Total reward: -200.0
Episode 235/2000 | Total reward: -200.0
Episode 236/2000 | Total reward: -200.0
Episode 237/2000 | Total reward: -200.0
Episode 238/2000 | Total reward: -200.0
Episode 239/2000 | Total reward: -200.0
Episode 240/2000 | Total reward: -200.0
Episode 241/2000 | Total reward: -200.0
Episode 242/2000 | Total reward: -200.0
Episode 243/2000 | Total reward: -200.0
Episode 244/2000 | Total reward: -200.0
Episode 245/2000 | Total reward: -200.0
Episode 246/2000 | Total reward: -200.0
Episode 247/2000 | Total reward: -200.0
Episode 248/2000 | Total reward: -200.0
Episode 249/2000 | Total reward: -200.0
Episode 250/2000 | Total reward: -200.0
Episode 251/2000 | Total reward: -200.0
Episode 252/2000 | Total reward: -200.0
Episode 253/2000 | Total reward: -200.0
Episode 254/2000 | Total reward: -200.0
Episode 255/2000 | Total reward: -200.0
Episode 256/2000 | Total reward: -200.0
Episode 257/2000 | Total reward: -200.0
Episode 258/2000 | Total reward: -200.0
Episode 259/2000 | Total reward: -200.0
Episode 260/2000 | Total reward: -200.0
Episode 261/2000 | Total reward: -200.0
Episode 262/2000 | Total reward: -200.0
Episode 263/2000 | Total reward: -200.0
Episode 264/2000 | Total reward: -200.0
Episode 265/2000 | Total reward: -200.0
Episode 266/2000 | Total reward: -200.0
Episode 267/2000 | Total reward: -200.0
Episode 268/2000 | Total reward: -200.0
Episode 269/2000 | Total reward: -200.0
Episode 270/2000 | Total reward: -200.0
Episode 271/2000 | Total reward: -200.0
Episode 272/2000 | Total reward: -200.0
Episode 273/2000 | Total reward: -200.0
Episode 274/2000 | Total reward: -200.0
Episode 275/2000 | Total reward: -200.0
Episode 276/2000 | Total reward: -200.0
Episode 277/2000 | Total reward: -200.0
Episode 278/2000 | Total reward: -200.0
Episode 279/2000 | Total reward: -200.0
Episode 280/2000 | Total reward: -200.0
Episode 281/2000 | Total reward: -200.0
Episode 282/2000 | Total reward: -200.0
Episode 283/2000 | Total reward: -200.0
Episode 284/2000 | Total reward: -200.0
Episode 285/2000 | Total reward: -200.0
Episode 286/2000 | Total reward: -200.0
Episode 287/2000 | Total reward: -200.0
Episode 288/2000 | Total reward: -200.0
Episode 289/2000 | Total reward: -200.0
Episode 290/2000 | Total reward: -200.0
Episode 291/2000 | Total reward: -200.0
Episode 292/2000 | Total reward: -200.0
Episode 293/2000 | Total reward: -200.0
Episode 294/2000 | Total reward: -200.0
Episode 295/2000 | Total reward: -200.0
Episode 296/2000 | Total reward: -200.0
Episode 297/2000 | Total reward: -200.0
Episode 298/2000 | Total reward: -200.0
Episode 299/2000 | Total reward: -200.0
Episode 300/2000 | Total reward: -200.0
Episode 301/2000 | Total reward: -200.0
Episode 302/2000 | Total reward: -200.0
Episode 303/2000 | Total reward: -200.0
Episode 304/2000 | Total reward: -200.0
Episode 305/2000 | Total reward: -200.0
Episode 306/2000 | Total reward: -200.0
Episode 307/2000 | Total reward: -200.0
Episode 308/2000 | Total reward: -200.0
Episode 309/2000 | Total reward: -200.0
Episode 310/2000 | Total reward: -200.0
Episode 311/2000 | Total reward: -200.0
Episode 312/2000 | Total reward: -200.0
Episode 313/2000 | Total reward: -200.0
Episode 314/2000 | Total reward: -200.0
Episode 315/2000 | Total reward: -200.0
Episode 316/2000 | Total reward: -200.0
Episode 317/2000 | Total reward: -200.0
Episode 318/2000 | Total reward: -200.0
Episode 319/2000 | Total reward: -200.0
Episode 320/2000 | Total reward: -200.0
Episode 321/2000 | Total reward: -200.0
Episode 322/2000 | Total reward: -200.0
Episode 323/2000 | Total reward: -200.0
Episode 324/2000 | Total reward: -200.0
Episode 325/2000 | Total reward: -200.0
Episode 326/2000 | Total reward: -200.0
Episode 327/2000 | Total reward: -200.0
Episode 328/2000 | Total reward: -200.0
Episode 329/2000 | Total reward: -200.0
Episode 330/2000 | Total reward: -200.0
Episode 331/2000 | Total reward: -200.0
Episode 332/2000 | Total reward: -200.0
Episode 333/2000 | Total reward: -200.0
Episode 334/2000 | Total reward: -200.0
Episode 335/2000 | Total reward: -200.0
Episode 336/2000 | Total reward: -200.0
Episode 337/2000 | Total reward: -200.0
Episode 338/2000 | Total reward: -200.0
Episode 339/2000 | Total reward: -200.0
Episode 340/2000 | Total reward: -200.0
Episode 341/2000 | Total reward: -200.0
Episode 342/2000 | Total reward: -200.0
Episode 343/2000 | Total reward: -200.0
Episode 344/2000 | Total reward: -200.0
Episode 345/2000 | Total reward: -200.0
Episode 346/2000 | Total reward: -200.0
Episode 347/2000 | Total reward: -200.0
Episode 348/2000 | Total reward: -200.0
Episode 349/2000 | Total reward: -200.0
Episode 350/2000 | Total reward: -200.0
