Episode 141/1000 | Total reward: -200.0
Episode 142/1000 | Total reward: -200.0
Episode 143/1000 | Total reward: -200.0
Episode 144/1000 | Total reward: -200.0
Episode 145/1000 | Total reward: -200.0
Episode 146/1000 | Total reward: -200.0
Episode 147/1000 | Total reward: -200.0
Episode 148/1000 | Total reward: -200.0
Episode 149/1000 | Total reward: -200.0
Episode 150/1000 | Total reward: -200.0
Episode 151/1000 | Total reward: -200.0
Episode 152/1000 | Total reward: -200.0
Episode 153/1000 | Total reward: -200.0
Episode 154/1000 | Total reward: -200.0
Episode 155/1000 | Total reward: -200.0
Episode 156/1000 | Total reward: -200.0
Episode 157/1000 | Total reward: -200.0
Episode 158/1000 | Total reward: -200.0
Episode 159/1000 | Total reward: -200.0
Episode 160/1000 | Total reward: -200.0
Episode 161/1000 | Total reward: -200.0
Episode 162/1000 | Total reward: -200.0
Episode 163/1000 | Total reward: -200.0
Episode 164/1000 | Total reward: -200.0
Episode 165/1000 | Total reward: -200.0
Episode 166/1000 | Total reward: -200.0
Episode 167/1000 | Total reward: -200.0
Episode 168/1000 | Total reward: -200.0
Episode 169/1000 | Total reward: -200.0
Episode 170/1000 | Total reward: -200.0
Episode 171/1000 | Total reward: -200.0
Episode 172/1000 | Total reward: -200.0
Episode 173/1000 | Total reward: -200.0
Episode 174/1000 | Total reward: -200.0
Episode 175/1000 | Total reward: -200.0
Episode 176/1000 | Total reward: -200.0
Episode 177/1000 | Total reward: -200.0
Episode 178/1000 | Total reward: -200.0
Episode 179/1000 | Total reward: -200.0
Episode 180/1000 | Total reward: -200.0
Episode 181/1000 | Total reward: -200.0
Episode 182/1000 | Total reward: -200.0
Episode 183/1000 | Total reward: -200.0
Episode 184/1000 | Total reward: -200.0
Episode 185/1000 | Total reward: -200.0
Episode 186/1000 | Total reward: -200.0
Episode 187/1000 | Total reward: -200.0
Episode 188/1000 | Total reward: -200.0
Episode 189/1000 | Total reward: -200.0
Episode 190/1000 | Total reward: -200.0
Episode 191/1000 | Total reward: -200.0
Episode 192/1000 | Total reward: -200.0
Episode 193/1000 | Total reward: -200.0
Episode 194/1000 | Total reward: -200.0
Episode 195/1000 | Total reward: -200.0
Episode 196/1000 | Total reward: -200.0
Episode 197/1000 | Total reward: -200.0
Episode 198/1000 | Total reward: -200.0
Episode 199/1000 | Total reward: -200.0
Episode 200/1000 | Total reward: -200.0
Episode 201/1000 | Total reward: -200.0
Episode 202/1000 | Total reward: -200.0
Episode 203/1000 | Total reward: -200.0
Episode 204/1000 | Total reward: -200.0
Episode 205/1000 | Total reward: -200.0
Episode 206/1000 | Total reward: -200.0
Episode 207/1000 | Total reward: -200.0
Episode 208/1000 | Total reward: -200.0
Episode 209/1000 | Total reward: -200.0
Episode 210/1000 | Total reward: -200.0
Episode 211/1000 | Total reward: -200.0
Episode 212/1000 | Total reward: -200.0
Episode 213/1000 | Total reward: -200.0
Episode 214/1000 | Total reward: -200.0
Episode 215/1000 | Total reward: -200.0
Episode 216/1000 | Total reward: -200.0
Episode 217/1000 | Total reward: -200.0
Episode 218/1000 | Total reward: -200.0
Episode 219/1000 | Total reward: -200.0
Episode 220/1000 | Total reward: -200.0
Episode 221/1000 | Total reward: -200.0
Episode 222/1000 | Total reward: -200.0
Episode 223/1000 | Total reward: -200.0
Episode 224/1000 | Total reward: -200.0
Episode 225/1000 | Total reward: -200.0
Episode 226/1000 | Total reward: -200.0
Episode 227/1000 | Total reward: -200.0
Episode 228/1000 | Total reward: -200.0
Episode 229/1000 | Total reward: -200.0
Episode 230/1000 | Total reward: -200.0
Episode 231/1000 | Total reward: -200.0
Episode 232/1000 | Total reward: -200.0
Episode 233/1000 | Total reward: -200.0
Episode 234/1000 | Total reward: -200.0
Episode 235/1000 | Total reward: -200.0
Episode 236/1000 | Total reward: -200.0
Episode 237/1000 | Total reward: -200.0
Episode 238/1000 | Total reward: -200.0
Episode 239/1000 | Total reward: -200.0
Episode 240/1000 | Total reward: -200.0
Episode 241/1000 | Total reward: -200.0
Episode 242/1000 | Total reward: -200.0
Episode 243/1000 | Total reward: -200.0
Episode 244/1000 | Total reward: -200.0
Episode 245/1000 | Total reward: -200.0
Episode 246/1000 | Total reward: -200.0
Episode 247/1000 | Total reward: -200.0
Episode 248/1000 | Total reward: -200.0
Episode 249/1000 | Total reward: -200.0
Episode 250/1000 | Total reward: -200.0
Episode 251/1000 | Total reward: -200.0
Episode 252/1000 | Total reward: -200.0
Episode 253/1000 | Total reward: -200.0
Episode 254/1000 | Total reward: -200.0
Episode 255/1000 | Total reward: -200.0
Episode 256/1000 | Total reward: -200.0
Episode 257/1000 | Total reward: -200.0
Episode 258/1000 | Total reward: -200.0
Episode 259/1000 | Total reward: -200.0
Episode 260/1000 | Total reward: -200.0
Episode 261/1000 | Total reward: -200.0
Episode 262/1000 | Total reward: -200.0
Episode 263/1000 | Total reward: -200.0
Episode 264/1000 | Total reward: -200.0
Episode 265/1000 | Total reward: -200.0
Episode 266/1000 | Total reward: -200.0
Episode 267/1000 | Total reward: -200.0
Episode 268/1000 | Total reward: -200.0
Episode 269/1000 | Total reward: -200.0
Episode 270/1000 | Total reward: -200.0
Episode 271/1000 | Total reward: -200.0
Episode 272/1000 | Total reward: -200.0
Episode 273/1000 | Total reward: -200.0
Episode 274/1000 | Total reward: -200.0
Episode 275/1000 | Total reward: -200.0
Episode 276/1000 | Total reward: -200.0
